License Plate State,License Plate Country,License Plate Type,ePermit?,License Plate Number,Vehicle Make,Vehicle Model,Vehicle Year,Vehicle Color,Nickname,Start Date,Start Time,End Date,End Time
PA,US,,,ABD0567,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABD0568,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0569,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0570,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0571,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABD0572,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0573,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABD0574,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABD0575,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0576,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0577,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABD0578,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0579,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABD0580,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0581,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0582,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABD0583,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0584,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0585,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0586,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0587,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABD0588,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABD0589,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0590,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0591,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0592,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0593,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0594,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0595,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0596,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABD0597,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0598,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0599,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABD0600,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABD0601,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0602,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABD0603,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0604,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0605,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABD0606,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0607,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0608,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABD0609,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABD0610,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0611,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0612,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0613,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0614,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABD0615,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABD0616,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0617,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABD0618,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0619,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0620,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABD0621,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABD0622,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0623,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABD0624,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0625,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABD0626,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IA,US,,,ABD0627,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABD0628,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0629,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0630,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABD0631,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0632,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0633,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0634,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0635,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0636,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0637,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABD0638,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0639,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABD0640,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABD0641,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABD0642,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0643,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0644,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0645,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0646,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0647,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0648,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABD0649,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0650,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABD0651,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0652,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0653,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABD0654,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0655,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0656,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABD0657,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABD0658,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABD0659,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABD0660,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0661,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABD0662,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABD0663,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0664,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0665,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0666,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0667,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0668,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0669,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0670,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABD0671,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0672,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABD0673,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABD0674,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABD0675,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABD0676,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABD0677,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABD0678,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0679,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0680,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0681,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0682,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0683,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABD0684,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0685,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CT,US,,,ABD0686,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AK,US,,,ABD0687,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABD0688,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABD0689,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0690,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0691,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0692,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABD0693,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0694,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABD0695,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABD0696,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0697,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0698,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABD0699,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0700,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0701,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABD0702,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0703,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABD0704,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0705,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABD0706,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NM,US,,,ABD0707,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABD0708,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABD0709,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0710,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0711,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0712,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0713,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABD0714,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0715,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0716,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABD0717,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0718,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0719,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABD0720,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABD0721,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0722,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0723,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0724,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0725,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABD0726,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0727,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0728,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0729,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABD0730,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0731,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0732,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABD0733,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0734,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0735,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABD0736,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0737,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0738,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0739,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0740,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0741,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABD0742,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABD0743,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABD0744,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0745,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0746,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0747,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABD0748,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0749,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0750,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0751,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0752,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0753,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0754,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0755,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0756,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0757,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0758,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABD0759,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0760,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0761,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABD0762,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABD0763,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0764,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0765,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABD0766,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0767,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0768,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABD0769,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0770,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABD0771,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABD0772,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0773,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0774,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABD0775,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CT,US,,,ABD0776,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0777,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0778,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0779,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0780,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0781,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABD0782,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABD0783,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABD0784,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AL,US,,,ABD0785,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VT,US,,,ABD0786,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0787,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0788,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0789,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABD0790,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABD0791,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0792,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0793,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0794,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABD0795,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0796,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0797,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0798,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0799,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0800,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0801,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0802,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0803,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABD0804,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABD0805,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABD0806,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABD0807,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0808,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABD0809,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CT,US,,,ABD0810,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NH,US,,,ABD0811,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0812,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AZ,US,,,ABD0813,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0814,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABD0815,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABD0816,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MS,US,,,ABD0817,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WI,US,,,ABD0818,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
GA,US,,,ABD0819,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0820,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0821,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABD0822,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0823,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0824,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
PA,US,,,ABD0825,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABD0826,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0827,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IL,US,,,ABD0828,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0829,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WV,US,,,ABD0830,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
LA,US,,,ABD0831,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0832,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ME,US,,,ABD0833,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0834,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0835,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ND,US,,,ABD0836,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0837,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
FL,US,,,ABD0838,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0839,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0840,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NV,US,,,ABD0841,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0842,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABD0843,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0844,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0845,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABD0846,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0847,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MO,US,,,ABD0848,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CT,US,,,ABD0849,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KY,US,,,ABD0850,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0851,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABD0852,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0853,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0854,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0855,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0856,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0857,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CA,US,,,ABD0858,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0859,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MA,US,,,ABD0860,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
UT,US,,,ABD0861,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MN,US,,,ABD0862,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0863,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
RI,US,,,ABD0864,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MD,US,,,ABD0865,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
IN,US,,,ABD0866,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0867,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0868,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
AR,US,,,ABD0869,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NJ,US,,,ABD0870,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0871,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SD,US,,,ABD0872,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0873,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0874,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABD0875,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
HI,US,,,ABD0876,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NY,US,,,ABD0877,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NC,US,,,ABD0878,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
NE,US,,,ABD0879,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OR,US,,,ABD0880,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0881,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
DE,US,,,ABD0882,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CO,US,,,ABD0883,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MT,US,,,ABD0884,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TX,US,,,ABD0885,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
TN,US,,,ABD0886,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
CT,US,,,ABD0887,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0888,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
ID,US,,,ABD0889,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WA,US,,,ABD0890,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
WY,US,,,ABD0891,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
VA,US,,,ABD0892,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
KS,US,,,ABD0893,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OH,US,,,ABD0894,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
OK,US,,,ABD0895,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
MI,US,,,ABD0896,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
SC,US,,,ABD0897,Acura,Integra,2025,Beige,,10/05/2025,08:00,,
